FILE_NAME,track_id,frame,top_l,top_r,width,height
1.jpg,1,1,100,100,100,200
2.jpg,1,2,100,100,50,50
3.jpg,1,3,100,100,400,400
4.jpg,2,4,103,103,200,200
5.jpg,2,5,104,104,100,100
6.jpg,2,6,105,105,50,50
7.jpg,3,7,106,106,100,300
8.jpg,3,8,107,107,100,200
9.jpg,3,9,108,108,100,200
10.jpg,3,10,109,109,100,200
11.jpg,4,11,110,110,100,200
12.jpg,5,12,200,200,100,200
13.jpg,6,13,200,200,100,200
14.jpg,6,14,200,200,100,200
15.jpg,6,15,200,200,100,200
16.jpg,6,16,200,200,100,200
17.jpg,6,17,200,200,100,200
18.jpg,6,18,200,200,100,200
19.jpg,6,19,200,200,100,200
20.jpg,6,20,200,200,100,200
21.jpg,6,21,200,200,100,200
22.jpg,6,22,200,200,100,200
23.jpg,6,23,200,200,100,200
24.jpg,6,24,200,200,100,200
25.jpg,6,25,200,200,100,200
26.jpg,6,26,200,200,100,200
27.jpg,6,27,200,200,100,200
28.jpg,6,28,200,200,100,200
29.jpg,6,29,200,200,100,200
30.jpg,6,30,200,200,100,200
31.jpg,6,31,200,200,100,200
32.jpg,6,32,200,200,100,200
33.jpg,6,33,200,200,100,200
34.jpg,6,34,200,200,100,200
35.jpg,6,35,200,200,100,200
36.jpg,6,36,200,200,100,200
37.jpg,6,37,200,200,100,200
38.jpg,6,38,200,200,100,200
39.jpg,6,39,200,200,100,200
40.jpg,6,40,200,200,100,200
41.jpg,6,41,200,200,100,200
42.jpg,6,42,200,200,100,200
43.jpg,6,43,200,200,100,200
44.jpg,6,44,200,200,100,200
45.jpg,6,45,200,200,100,200
46.jpg,6,46,200,200,100,200
47.jpg,6,47,200,200,100,200
48.jpg,6,48,200,200,100,200
49.jpg,6,49,200,200,100,200
50.jpg,6,50,200,200,100,200
51.jpg,6,51,200,200,100,200
52.jpg,6,52,200,200,100,200
53.jpg,6,53,200,200,100,200
54.jpg,6,54,200,200,100,200
55.jpg,6,55,200,200,100,200
56.jpg,6,56,200,200,100,200
57.jpg,6,57,200,200,100,200
58.jpg,6,58,200,200,100,200
59.jpg,6,59,200,200,100,200
60.jpg,6,60,200,200,100,200
61.jpg,6,61,200,200,100,200
62.jpg,6,62,200,200,100,200
63.jpg,6,63,200,200,100,200
64.jpg,6,64,200,200,100,200
65.jpg,6,65,200,200,100,200
66.jpg,6,66,200,200,100,200
67.jpg,6,67,200,200,100,200
68.jpg,6,68,200,200,100,200
